date,company,product_id,category,sales,price,promotion,stockout_days
2022-01-01,Company A,P001,OTC,81.7,8.19,0,0
2022-02-01,Company A,P001,OTC,104.4,8.03,1,1
2022-03-01,Company A,P001,OTC,95.2,8.22,0,3
2022-04-01,Company A,P001,OTC,113.4,8.12,0,0
2022-05-01,Company A,P001,OTC,95.9,8.22,0,0
2022-06-01,Company A,P001,OTC,94.6,8.31,0,3
2022-07-01,Company A,P001,OTC,92.0,8.13,0,0
2022-08-01,Company A,P001,OTC,93.0,8.54,0,5
2022-09-01,Company A,P001,OTC,79.5,8.15,0,0
2022-10-01,Company A,P001,OTC,78.5,7.79,0,0
2022-11-01,Company A,P001,OTC,92.0,7.83,0,2
2022-12-01,Company A,P001,OTC,94.5,8.22,0,0
2023-01-01,Company A,P001,OTC,100.1,8.07,0,0
2023-02-01,Company A,P001,OTC,103.8,7.88,0,0
2023-03-01,Company A,P001,OTC,123.6,7.78,0,0
2023-04-01,Company A,P001,OTC,111.3,8.04,0,0
2023-05-01,Company A,P001,OTC,119.5,7.91,0,0
2023-06-01,Company A,P001,OTC,108.1,7.68,0,0
2023-07-01,Company A,P001,OTC,126.4,8.04,1,0
2023-08-01,Company A,P001,OTC,100.5,8.16,0,0
2023-09-01,Company A,P001,OTC,90.3,7.91,0,0
2023-10-01,Company A,P001,OTC,98.7,7.88,0,0
2023-11-01,Company A,P001,OTC,100.8,8.17,0,0
2023-12-01,Company A,P001,OTC,101.8,7.58,0,0
2024-01-01,Company A,P001,OTC,119.2,8.1,1,0
2024-02-01,Company A,P001,OTC,126.4,7.91,0,1
2024-03-01,Company A,P001,OTC,119.5,7.76,0,3
2024-04-01,Company A,P001,OTC,109.8,8.11,0,0
2024-05-01,Company A,P001,OTC,111.2,8.02,0,1
2024-06-01,Company A,P001,OTC,119.4,8.4,0,0
2024-07-01,Company A,P001,OTC,133.4,8.05,1,0
2024-08-01,Company A,P001,OTC,111.7,8.37,0,0
2024-09-01,Company A,P001,OTC,97.8,7.9,0,0
2024-10-01,Company A,P001,OTC,102.6,7.63,0,0
2024-11-01,Company A,P001,OTC,113.5,8.5,0,0
2024-12-01,Company A,P001,OTC,104.1,7.47,0,0
2025-01-01,Company A,P001,OTC,115.5,7.85,0,0
2025-02-01,Company A,P001,OTC,126.9,7.96,0,0
2025-03-01,Company A,P001,OTC,144.9,7.99,1,1
2025-04-01,Company A,P001,OTC,141.1,7.88,0,0
2025-05-01,Company A,P001,OTC,144.6,8.53,1,2
2025-06-01,Company A,P001,OTC,121.6,8.23,0,0
2025-07-01,Company A,P001,OTC,123.3,7.84,0,0
2025-08-01,Company A,P001,OTC,126.6,7.68,1,3
2025-09-01,Company A,P001,OTC,116.1,7.97,0,0
2025-10-01,Company A,P001,OTC,115.8,7.9,0,0
2025-11-01,Company A,P001,OTC,146.7,8.05,1,3
2025-12-01,Company A,P001,OTC,134.8,8.43,0,0
2022-01-01,Company A,P002,OTC,119.7,9.52,0,0
2022-02-01,Company A,P002,OTC,112.8,9.8,0,0
2022-03-01,Company A,P002,OTC,151.2,9.82,1,0
2022-04-01,Company A,P002,OTC,124.4,9.59,0,0
2022-05-01,Company A,P002,OTC,121.1,10.03,0,1
2022-06-01,Company A,P002,OTC,115.7,9.72,0,0
2022-07-01,Company A,P002,OTC,124.2,9.76,0,3
2022-08-01,Company A,P002,OTC,127.4,9.84,1,0
2022-09-01,Company A,P002,OTC,105.1,10.43,0,0
2022-10-01,Company A,P002,OTC,100.0,9.43,0,1
2022-11-01,Company A,P002,OTC,132.7,9.62,1,1
2022-12-01,Company A,P002,OTC,109.8,9.53,0,2
2023-01-01,Company A,P002,OTC,114.8,9.58,0,0
